Sex Agemos   L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
2    17.0    -0.2562  10.0226   0.12306   8.0      8.2      8.8      9.2     10.0     10.9     11.4     12.3     12.7
2    18.0    -0.2637  10.2315   0.12309   8.2      8.4      9.0      9.4     10.2     11.1     11.6     12.6     13.0
2    19.0    -0.2703  10.4393   0.12315   8.3      8.6      9.2      9.6     10.4     11.4     11.9     12.9     13.3
2    20.0    -0.2762  10.6464   0.12323   8.5      8.7      9.4      9.8     10.6     11.6     12.1     13.1     13.5
2    21.0    -0.2815  10.8534   0.12335   8.7      8.9      9.6     10.0     10.9     11.8     12.4     13.4     13.8
2    22.0    -0.2862  11.0608   0.12350   8.8      9.1      9.8     10.2     11.1     12.0     12.6     13.6     14.1
2    23.0    -0.2903  11.2688   0.12369   9.0      9.2      9.9     10.4     11.3     12.3     12.8     13.9     14.3
2    24.0    -0.2941  11.4775   0.12390   9.2      9.4     10.1     10.6     11.5     12.5     13.1     14.2     14.6
2    25.0    -0.2975  11.6864   0.12414   9.3      9.6     10.3     10.8     11.7     12.7     13.3     14.4     14.9
2    26.0    -0.3005  11.8947   0.12441   9.5      9.8     10.5     10.9     11.9     12.9     13.6     14.7     15.2
2    27.0    -0.3032  12.1015   0.12472   9.6      9.9     10.7     11.1     12.1     13.2     13.8     15.0     15.4
2    28.0    -0.3057  12.3059   0.12506   9.8     10.1     10.8     11.3     12.3     13.4     14.0     15.2     15.7
2    29.0    -0.3080  12.5073   0.12545  10.0     10.2     11.0     11.5     12.5     13.6     14.3     15.5     16.0
2    30.0    -0.3101  12.7055   0.12587  10.1     10.4     11.2     11.7     12.7     13.8     14.5     15.7     16.2
2    31.0    -0.3120  12.9006   0.12633  10.3     10.5     11.3     11.9     12.9     14.1     14.7     16.0     16.5
2    32.0    -0.3138  13.0930   0.12683  10.4     10.7     11.5     12.0     13.1     14.3     15.0     16.2     16.8
2    33.0    -0.3155  13.2837   0.12737  10.5     10.8     11.7     12.2     13.3     14.5     15.2     16.5     17.0
2    34.0    -0.3171  13.4731   0.12794  10.7     11.0     11.8     12.4     13.5     14.7     15.4     16.8     17.3
2    35.0    -0.3186  13.6618   0.12855  10.8     11.1     12.0     12.5     13.7     14.9     15.7     17.0     17.6
2    36.0    -0.3201  13.8503   0.12919  11.0     11.3     12.1     12.7     13.9     15.1     15.9     17.3     17.8
2    37.0    -0.3216  14.0385   0.12988  11.1     11.4     12.3     12.9     14.0     15.3     16.1     17.5     18.1
